Name,Notes,Section,Priority,Estimate (d)
"Graduate UI kit to Storybook components","Promote the prototype kit (Btn, Card, Pill, Badge, AppShell, SectionTitle, LessonCard, Field, Toggle, Ring, Bar, Avatar, WeekDots, Icon) into real components with .stories.tsx so /design-sync exposes them. Prototype source: site-system/stax-kit.jsx (templates/stax-ui). AC: each component has a story + types; design-sync lists them under window.StocksDS or a kit namespace.","DS & Kit",High,5
"ResearchChart: add fixtures / demo-data mode","Add a prop so ResearchChart renders from passed candle fixtures when no /api/candles backend is present. Unblocks composing it in design + Storybook. AC: <ResearchChart symbol fixtures={...}/> renders fully with no network.","DS & Kit",High,2
"Write ResearchChart.stories.tsx","Sized wrapper + MSW candles handler + seeded localStorage (drawings/alerts) + variants (EMAs, RSI/MACD, supply-demand zones). AC: story renders all 7 canvas layers with no console errors.","DS & Kit",Medium,2
"Publish App Screen starter template","Ship the kit-based starter (prototype: templates/stax-ui/StaxScreen.dc.html) as a real starting point. AC: a new screen can be scaffolded from it with nav shell + cards + chart.","DS & Kit",Low,1
"Daily content selection service","Date-seeded job that picks chart-of-the-day (dataset + correct candle index + pattern) and question-of-the-day (prompt/options/correct/explanation). Same for all users per calendar day. AC: deterministic per date; API returns today's payload.","Daily Hub",High,3
"Per-user daily state + streak reset","Model dailyCompleted, dailyGoal {done,target}, lastCompletedDate, streakCount with timezone-aware break logic. AC: streak increments once/day, breaks on a missed day in user TZ.","Daily Hub",High,3
"XP + streak mutation service","Award XP and advance streak on daily challenge / QOTD / lesson completion; define bonuses (double-XP daily, +10 QOTD). AC: idempotent per action; auditable ledger.","Daily Hub",High,2
"Today screen UI","Chart-of-day hero, QOTD with reveal, daily-goal ring, streak strip, what-to-test launcher. Prototype: site-system/s_daily.jsx. AC: matches prototype; wired to services above.","Daily Hub",Medium,3
"Reminders & streak notifications","Daily reminder at user-set time + streak-about-to-break nudge. Prototype schedule UI: s_settings.jsx (Notifications). AC: respects per-type toggles + quiet hours.","Daily Hub",Medium,2
"Lesson content model","Schema for a lesson as ordered steps (teach | choice | tap) with chart refs, options, correct, explain. AC: authorable; validated; versioned.","Lessons",High,2
"Lesson player UI","Full-bleed step-through: progress bar, hearts, select->check->feedback->continue, completion (XP/accuracy/hearts). Prototype: site-system/s_player.jsx. AC: matches prototype incl. tap-the-candle exercise.","Lessons",High,4
"Hearts / lives mechanic","Decide model (gate progress? refill over time? gems?). Wrong inline check costs a heart. AC: configurable cap + refill; defined retry rules.","Lessons",Medium,2
"Achievement catalog + criteria engine","Define badge taxonomy (tiers, categories) + a rules engine evaluating progress/goal. Prototype: s_badges.jsx. AC: badges award automatically on criteria met.","Achievements & Leaderboard",Medium,3
"Achievements grid UI","Category filter, closest-to-unlocking spotlight, earned/locked tiles with progress. Prototype: s_badges.jsx. AC: matches prototype; live progress.","Achievements & Leaderboard",Low,2
"Weekly league cohort + reset job","Assign users to weekly cohorts (skill-based or random?), compute standings, promote top-N / demote bottom-N, reset weekly. Prototype: s_leaderboard.jsx. AC: fair cohorts; scheduled reset; anti-cheat on XP.","Achievements & Leaderboard",Medium,4
"Leaderboard UI","Podium, promotion/demotion zones, League/Friends toggle, countdown. Prototype: s_leaderboard.jsx. AC: matches prototype.","Achievements & Leaderboard",Low,2
"Market data service","Quotes + candles for stocks/ETFs/crypto. Decide real-time vs delayed, market hours vs 24/7, corporate actions. AC: /api/{candles,quote,snapshot} with documented latency.","Paper Trading",High,5
"Positions/orders service + order engine","Virtual cash + positions + orders. Support market/limit/stop/stop-limit, buy/sell; fills (incl. resting orders crossing price), avg-cost + realized/unrealized P&L. Prototype logic: site-system/trade_store.js. AC: balances reconcile; fills match spec.","Paper Trading",High,6
"Trading desk UI","Account header, stat tiles, portfolio chart, positions table, watchlist, open orders, missions strip, tilt nudge. Prototype: s_trade.jsx. AC: matches prototype; live updates.","Paper Trading",Medium,3
